DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TIPSNA40(1.0),25/11/24 23:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Slovenia,1995,11980,
ESTAT:TIPSNA40(1.0),25/11/24 23:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Slovenia,1996,12320,
ESTAT:TIPSNA40(1.0),25/11/24 23:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Slovenia,1997,12980,
ESTAT:TIPSNA40(1.0),25/11/24 23:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Slovenia,1998,13400,
ESTAT:TIPSNA40(1.0),25/11/24 23:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Slovenia,1999,14100,
ESTAT:TIPSNA40(1.0),25/11/24 23:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Slovenia,2000,14550,
ESTAT:TIPSNA40(1.0),25/11/24 23:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Slovenia,2001,14940,
ESTAT:TIPSNA40(1.0),25/11/24 23:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Slovenia,2002,15410,
ESTAT:TIPSNA40(1.0),25/11/24 23:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Slovenia,2003,15890,
ESTAT:TIPSNA40(1.0),25/11/24 23:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Slovenia,2004,16600,
ESTAT:TIPSNA40(1.0),25/11/24 23:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Slovenia,2005,17210,
ESTAT:TIPSNA40(1.0),25/11/24 23:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Slovenia,2006,18170,
ESTAT:TIPSNA40(1.0),25/11/24 23:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Slovenia,2007,19360,
ESTAT:TIPSNA40(1.0),25/11/24 23:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Slovenia,2008,19980,b
ESTAT:TIPSNA40(1.0),25/11/24 23:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Slovenia,2009,18290,
ESTAT:TIPSNA40(1.0),25/11/24 23:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Slovenia,2010,18420,
ESTAT:TIPSNA40(1.0),25/11/24 23:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Slovenia,2011,18510,
ESTAT:TIPSNA40(1.0),25/11/24 23:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Slovenia,2012,17930,
ESTAT:TIPSNA40(1.0),25/11/24 23:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Slovenia,2013,17760,
ESTAT:TIPSNA40(1.0),25/11/24 23:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Slovenia,2014,18230,
ESTAT:TIPSNA40(1.0),25/11/24 23:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Slovenia,2015,18660,
ESTAT:TIPSNA40(1.0),25/11/24 23:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Slovenia,2016,19210,
ESTAT:TIPSNA40(1.0),25/11/24 23:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Slovenia,2017,20190,
ESTAT:TIPSNA40(1.0),25/11/24 23:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Slovenia,2018,21010,
ESTAT:TIPSNA40(1.0),25/11/24 23:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Slovenia,2019,21570,
ESTAT:TIPSNA40(1.0),25/11/24 23:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Slovenia,2020,20560,
ESTAT:TIPSNA40(1.0),25/11/24 23:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Slovenia,2021,22230,
ESTAT:TIPSNA40(1.0),25/11/24 23:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Slovenia,2022,22810,
ESTAT:TIPSNA40(1.0),25/11/24 23:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Slovenia,2023,23170,
