DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Slovenia,1960,1580535,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Slovenia,1961,1588904,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Slovenia,1962,1599357,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Slovenia,1963,1607941,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Slovenia,1964,1626000,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Slovenia,1965,1638227,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Slovenia,1966,1660092,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Slovenia,1967,1679717,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Slovenia,1968,1699339,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Slovenia,1969,1709752,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Slovenia,1970,1717995,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Slovenia,1971,1731787,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Slovenia,1972,1744882,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Slovenia,1973,1759584,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Slovenia,1974,1773809,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Slovenia,1975,1778454,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Slovenia,1976,1808707,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Slovenia,1977,1831790,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Slovenia,1978,1852963,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Slovenia,1979,1872133,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Slovenia,1980,1893064,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Slovenia,1981,1909566,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Slovenia,1982,1903495,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Slovenia,1983,1917173,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Slovenia,1984,1927469,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Slovenia,1985,1936839,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Slovenia,1986,1946442,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Slovenia,1987,1985486,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Slovenia,1988,1994066,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Slovenia,1989,1996325,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Slovenia,1990,1996377,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Slovenia,1991,1999945,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Slovenia,1992,1998912,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Slovenia,1993,1994084,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Slovenia,1994,1989408,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Slovenia,1995,1989477,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Slovenia,1996,1990266,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Slovenia,1997,1986989,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Slovenia,1998,1984923,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Slovenia,1999,1978334,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Slovenia,2000,1987755,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Slovenia,2001,1990094,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Slovenia,2002,1994026,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Slovenia,2003,1995033,
ESTAT:DEMO_PJAN(1.0),04/11/24 23:00:00,Annual,Number,Total,Total,Slovenia,2004,1996433,
