DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEC00110(1.0),29/11/24 23:00:00,Annual,"Current prices, million euro",Exports of goods and services,Slovenia,2012,26427.5,
ESTAT:TEC00110(1.0),29/11/24 23:00:00,Annual,"Current prices, million euro",Exports of goods and services,Slovenia,2013,27016.2,
ESTAT:TEC00110(1.0),29/11/24 23:00:00,Annual,"Current prices, million euro",Exports of goods and services,Slovenia,2014,28569.1,
ESTAT:TEC00110(1.0),29/11/24 23:00:00,Annual,"Current prices, million euro",Exports of goods and services,Slovenia,2015,29896.0,
ESTAT:TEC00110(1.0),29/11/24 23:00:00,Annual,"Current prices, million euro",Exports of goods and services,Slovenia,2016,31385.0,
ESTAT:TEC00110(1.0),29/11/24 23:00:00,Annual,"Current prices, million euro",Exports of goods and services,Slovenia,2017,35755.1,
ESTAT:TEC00110(1.0),29/11/24 23:00:00,Annual,"Current prices, million euro",Exports of goods and services,Slovenia,2018,38901.6,
ESTAT:TEC00110(1.0),29/11/24 23:00:00,Annual,"Current prices, million euro",Exports of goods and services,Slovenia,2019,40623.4,
ESTAT:TEC00110(1.0),29/11/24 23:00:00,Annual,"Current prices, million euro",Exports of goods and services,Slovenia,2020,36583.2,
ESTAT:TEC00110(1.0),29/11/24 23:00:00,Annual,"Current prices, million euro",Exports of goods and services,Slovenia,2021,43687.2,
ESTAT:TEC00110(1.0),29/11/24 23:00:00,Annual,"Current prices, million euro",Exports of goods and services,Slovenia,2022,53484.4,
ESTAT:TEC00110(1.0),29/11/24 23:00:00,Annual,"Current prices, million euro",Exports of goods and services,Slovenia,2023,53240.1,
ESTAT:TEC00110(1.0),29/11/24 23:00:00,Annual,"Current prices, million euro",Imports of goods and services,Slovenia,2012,25193.4,
ESTAT:TEC00110(1.0),29/11/24 23:00:00,Annual,"Current prices, million euro",Imports of goods and services,Slovenia,2013,25304.5,
ESTAT:TEC00110(1.0),29/11/24 23:00:00,Annual,"Current prices, million euro",Imports of goods and services,Slovenia,2014,26022.3,
ESTAT:TEC00110(1.0),29/11/24 23:00:00,Annual,"Current prices, million euro",Imports of goods and services,Slovenia,2015,26774.1,
ESTAT:TEC00110(1.0),29/11/24 23:00:00,Annual,"Current prices, million euro",Imports of goods and services,Slovenia,2016,27929.9,
ESTAT:TEC00110(1.0),29/11/24 23:00:00,Annual,"Current prices, million euro",Imports of goods and services,Slovenia,2017,31892.4,
ESTAT:TEC00110(1.0),29/11/24 23:00:00,Annual,"Current prices, million euro",Imports of goods and services,Slovenia,2018,35026.5,
ESTAT:TEC00110(1.0),29/11/24 23:00:00,Annual,"Current prices, million euro",Imports of goods and services,Slovenia,2019,36448.3,
ESTAT:TEC00110(1.0),29/11/24 23:00:00,Annual,"Current prices, million euro",Imports of goods and services,Slovenia,2020,32379.3,
ESTAT:TEC00110(1.0),29/11/24 23:00:00,Annual,"Current prices, million euro",Imports of goods and services,Slovenia,2021,40632.5,
ESTAT:TEC00110(1.0),29/11/24 23:00:00,Annual,"Current prices, million euro",Imports of goods and services,Slovenia,2022,52490.9,
ESTAT:TEC00110(1.0),29/11/24 23:00:00,Annual,"Current prices, million euro",Imports of goods and services,Slovenia,2023,49144.9,
